conversation_id,customer_message,agent_response
25927,reg. Ord 404-7091504-9405917. You should have alerted me regarding the deduction to my Amazon Pay Balance before doing so. #sucks,I'm sorry but I couldn't follow. Could you please elaborate on your concern?
26971,tried but it's not happening. This is what is service level. When someone asking for call back you guys showing different way,"As this is a social media platform, we can't view your account/order details. (1/2)"
27862,As a trial I had Glasgow WORKING - but Brighton is a non-starter as others have reported - and indeed yourself. #terribleservice,Sorry to hear that. Please reach out here: and we'll look into it for you.
27877,I purchased redmi4 few function of phone not working and camera quality not good. Hence don't want to replace this with same product.,here: we'll help look into it. 2/2
28433,"Mache mir nur Gedanken das es Freitag nicht an kommt , Mit welchen Dienst versendet ihr es ? Wenn ich fragen darf!?","Der, der theoretisch am schnellsten bei dir ist. Der Transportdienst wird erst kurz vor Versand festgelegt."
28437,versendet ihr heute Call of Duty WW2 oder erst morgen ! Weil das Spiel Freitag raus kommt 🙈😂 hoffe es kommt pünktlich an bei mir,"Wir versenden so, dass es am Freitag bei dir zugestellt werden kann. Liebe Grüße"
28958,y there ll be quiz when u can't keep up with prizes and giving lengthy of explanation,"Sorry for any hassles, Kaushik. We do have prizes for the contests, could you elaborate on your concern?"
29664,"thanks DJ, that did allow me to play music now using spotify as if it was a bluetooth speaker but I was really hoping to link it for voice control, etc. Could it be that my wife is the echo account owner? I feel like that shouldn't have an effect tho...","Thanks for the additional information, Eric! We'd like to take a look into this with you. When you get a moment, please contact us via chat or phone:"
29944,"2 months later, 5 phone calls, speaking to an upper level manager and I still haven't received access to my account. COOL GUYS.",I'm sorry to hear that Heather. Have you been given any advice since the issue began?
29954,wieviele leute können gleichzeitig bei einem amazon prime abo die videos ansehen ?,Es können zwei Titel gleichzeitig geschaut werden. Aber nicht der gleiche Titel parallel auf zwei Geräten.
30008,Dealing with them from the B2B side is honestly the worst. I have an issue open with them that is 20months old. Amz staff caused this issue.,"Hi, has a follow up been arranged for you? What is the most recent info we provided?"
31316,Your team has contacted saying the same 24-48 hr delivery policy for order delivery. So I need to wait another 2 days. For prime your deliver fast but not for me even for your mistake.,"I'm sorry about the stretch. However, please be assured that we're working on your concern and will get back (1/2)"
31384,I've received a message on one of my orders that says my item could not be delivered requires action and to contact you any ideas?,I'm so sorry! Do you have an active order? What does the tracking show for it here?
32314,Promotional cash back not credited even after refund date been crossed order# 404-4707947-1460330☹️😡,"Please don't provide your order details, we consider it to be personal info. Our page is visible to the public. 2/2"
33234,"What happened? No solution, customer support not helping, email support not replying. Where shud I complain?",us the details using the link provided by 'SU' & I will look into the issue right away. (2/2)
34476,Hey I pre-ordered 's book Slobberknocker on Sept 11th for release on Oct 19th and still nothing. Any status update?,Oh no! We'd like to help in any way we can. What's the latest status for your order here:
34500,"I am getting ""We're sorry but we encountered an error when processing your request. Please try again"" When payi with 2 dif cards",Oh no! We'd like to help troubleshoot with you. Do you mind telling us which Amazon site you use? (.com/.ca/.co.uk/.de) Thanks!
34575,"Sagt mal , wann gibt es endlich Amazon Prime in der Schweiz?","Dazu haben wir keine Informationen. Wir bemühen uns natürlich, den Service für internationale Kunden weiter auszubauen."
35147,This is quality of the grinder that was delivered just now.Broken grinder stone and scratched product all over.Mere refnd engh???,Truly sorry about the experience. We certainly did not expect this to happen. Please contact us (1/2)
38178,É só me enviarem que acaba o problema!,"Bruno, os nossos pedidos são cobrados uma vez que entram em processo de envio, o valor que se apresenta no seu cartão 1/3"
39564,Thank you very much for the speedy reply! Is US site the same as the UK site? I can't see what digital credit/ pantry credit I have sadly 😔,Sorry about that! You can find out how to view your credits in the UK here:
40429,ordered a product with delivery address j&k....but ATS is trying to deliver it to Assam....track id-79244084290,"Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2)"
43250,"Am gleichen Tag noch, sonderlich hilfreich war es jetzt auch nicht, Paket (durch den Feiertag) immer noch nicht da, das einzig ärgerliche jetzt ist natürlich, dass die Zustellungsdaten nicht aktualisiert werden. Seit Samstag keinerlei Infos.","Abhängig vom Standort des Paketzentrums kann es sein, dass es sich leider erst morgen wieder bewegt. Gruß"
43679,TE AMO POR SIEMPRE,"¡También te amamos, Quirino! 😍 Nos alegra que tu pedido haya llegado hoy. Cuéntanos, ¿qué has recibido?"
45529,Your amazon.in Order #402-0091077-1944373,"I'm sorry you had issues with the return pick up of your order, please fill this form: and (1/3)"
46544,": ""Order now to receive by Wednesday!""....Confirmation email: ""Your package will arrive on Thursday."" Why do you keep lying to me?!","I'm sorry for the delay! For more information about the guaranteed delivery timer, visit us here:"
46564,Huge thank you to 😁 my new remote for my Firestick ❤ arrived...it worked and I'm back in business #HappyWeeyin,"We weren't ""remotely"" worried! LOL! 😁 So glad you are now back in business now!"
47862,"Got my order. 1 bag right, other 1 not mine. Missing the chilled/frozen stuff. chips/no dip, crackers/no cheese . :(","I'm sorry we let you down. We'd like to go over your options, please call us here:"
47907,"thanks for trying at least u were more helpful, thanks 😩","If you don't receive an e-mail from an Account Specialist by the 24-hour mark, let us know."
47927,Furious with & . Why does the customer have to pay for their lack of communication? #WhereIsMyPackage? 😡😡😡😡😡,"So sorry for the frustration! Without providing any account information, can you tell us more about the issue?"
49126,"2/2 carrier who delivered my previous item which i never received, to a random address. Will be disappointed if this happens again tomorrow",I'm sorry your order was delivered to the wrong address! We'd like to make sure you get the new order so keep us posted!
49901,"#Amazon shipping #fraud not limited 2 #prime, paid for 1-day shipping on Mon, package scheduled to arrive next Mon. UPS says on time",One-Day Shipping refers to transit time once the item ships! You can learn more about shipping here:
51605,I've called support and it's been moved to an 'account specialist' just like last time as apparently I didn't call when this happened before (which I did three times). Just very frustrated this happens whenever I try and place an order.,I'm sorry for the frustration. Please keep an eye on your e-mail for a response from the account specialist.
52234,Can you let me know what the issue is? Do you need any info?,I'd like to have a member from our support team lend you a hand with this; please contact us here:
52242,"This Monday, and no, I had no answers",Have you received any e-mails to your spam or junk folder?
52251,Having some issues with your jobs portal using social login with LinkedIn.,Thanks for reaching out! You can report technical issues by clicking Give Us Feedback at the bottom of the site page.
52929,"Vino un repartidor de y, ¿qué creen que hizo? Me pidió dinero a cambio de entregarme el paquete.","Atención al Cliente, por favor, ingresa a: (2/2)"
53499,Why cant we watch prime content on mobile devices,I'm sorry for the frustration! Are you trying to watch from the Prime Video app?
56875,Well I'm gonna try certain pin codes from Pune or Kolhapur. Hope it's enough to grab one of those very few,You would only know whether your pin code is eligible or not when you enter your Shipping (1/2)
56918,"Sounds like it's been delivered to the wrong address... No building on my block has a ""Mail Room""","At times, a package can be mis-scanned. In most cases packages arrive within 24 hours. If not, please contact us back."
58077,Disgusting service from with delivering my pre order of book for tomorrow😢 having to wait 5 days after it's released.,Sorry for the trouble! We're here to help! Could you tell us what the current tracking indicates?:
58082,I highly encourage everyone to NEVER preorder things from they can't provide an update on an item that i should have in 6 days.,You will be e-mailed with any status updates. You can view communication here:
58124,I started the return 3 months ago. The package was too large to take to UPS. Seller arranged by THEM for pick up. They gave me a label...,Oh no! It sounds like you may qualify for our A-to-z Guarantee Claim. You can read more on this here: 1/2
60225,"Hola, no. Que tengo que hacer? Gracias","¿Realizaste la compra por medio de la aplicación de Prime Now? De ser así, puedes reportalo directamente desde la App."
60237,Cast to the firestick. So can you tell me how im suppose to watch content on the tv?,When you attempt to play Amazon Video on your Fire Stick what happens? Are you getting an error message?
60250,"Preciso de mais para me acalmar nesses dias antes do ENEM, ainda bem que com o Kindle não existem barreiras. 😬","Olá Francisco, sem dúvida! O Kindle é uma maravilha! Você gostaria de recomendar um livro aos nossos amigos leitores? 😍📚"
61023,The problem is not the service itself the problem is that you don't communicate this is gonna happen! 😡 I lost 4 months of membership.,(1/2) Other Amazon sites offer separate memberships to Amazon Prime for benefits at that particular site.
61050,We submitted our app to over 2 week’s ago; why is it still in progress? We’re very disappointed & annoyed 😡,I'm sorry there hasn't been any progress on this. Please reach out to us at this link here:
62384,you guys seriously need to get customer service reps w/ some semblance of common sense. You royally screwed up my order!,"Oh no, I'm so sorry to hear about this! Without providing any personal or account details, can you tell us more about what's going on?"
63851,"I'm sorry, I have no idea who it was.",That's fine. Were the items received ok?
63863,Absolutely wrong practice by Amazon India. Order#407-6746802-0925919. Item 1: price 149 while placing the order. Charged Rs. 25 for shipping on delivery. New way to cheat...very small amt but new way to overcharge... SHAME,I understand your concern regarding the delivery charges. Orders with items that are Fulfilled by Amazon worth Rs. 599 or more will qualify for free delivery. Please refer here for more info:
63890,Yay! My entire Subscribe & Save order is 'delayed' - no estimate... just 'delayed',"I'm sorry to hear this, Darren. Has the order dispatched yet, or is it still preparing for dispatch? You can view this information here:"
63947,Yes 2 days then emailed after said wanted another 2 days and still nothing,"Emails can get routed to your spam/junk folder, did you check there?"
64018,"Par un vendeur tiers, mais dans le suivi c'est marqué qu'il avait bien envoyé les produits","Votre commande est bien expédiée. La livraison sera effectuée d'ici le 15/12 au plus tard comme indiquée. Pour en savoir plus, je vous propose de contacter le vendeur directement via la page suivante :"
64064,I've received a tampered product...i want my refund asap.. i spent hour talking to your customer support and they were useless,I understand your concern regarding the refund. Please drop in your details here: and we will assist you.
64081,"Ouiiiiiiii, bien suuuuuuuûr... PARCE QUE VOUS ALLEZ AVOIR UN GESTE COMMERCIAL AVEC MOI, PEUT-ÊTRE???? Vous ne l'avez JAMAIS fait, alors...","Si le problème persiste, je vous invite à reprendre contact avec notre service client s'il vous plait. Bonne journée."
64182,"Three days, and case still unresolved. It doesn't even seem your people ""get"" what the problem is. Escalate the case to tech or whatever to investigate where the missing credits went. Replied to A1OMV7KNFMOJF0 and barely managed to sound patient.","Sorry to hear that, were you given a waiting time period?"
65701,"Sorry, I fail to see how pointing me at your self help page is meant to help. May as well just call again. Please take ownership of the case and give me regular updates. While I've got your attention. It would be nice to have a case management section in account details.","Hi. The link we provided previously was the ""Contact Us"" link. As we are unable to access accounts through social media, it is the best means of proceeding."
65793,Already filled it multiple time but no reply from your end.,"We haven't received your details yet. I request you to kindly fill in the details once again through: so that we can work on this right away, without any further delay."
65893,Your agent says it is third party delivery.. he can't reschedule it as it is already paid... He kept calling.... Order 406-9195017-4997117,"Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2"
66206,well done amazon! I’ve just identified a fraud on my account & your advisor was reassuring & sorted it all out! Great customer service 👍🏻,So glad we could get everything sorted out! We take account security extremely seriously!
67440,"Hey , when is Vikings being released? I thought it was supposed to be today?","Hi, we don't get advanced notice of when it will go live. Please check back for updates."
67582,Upto 20% off on instant gvs.. Why have you guys listed BOOKMYSHOW in banner when the offer is not available for Bookmyshow.. making us fool...😒,Could you please share the link to the promotion? We will look into it.
69721,"plz expedite the delivery of my order placed by mob no- 8010757001. Its urgent, you guyz didnt even give me option to pay 1 day delivery charge as well. Its my first order with u. Dont brk my trust. reaching twitter almost brks it.","I get your concern about the order, Talha. We ship & deliver orders as per the estimates shared with you. Please wait till the estimates, I'm positive your order should be delivered soon. Appreciate your understanding."
69721,My order is lying at Gorakhpur hub today since 6Am but no courier boy has been assigned for delivery though it is to be delivered in center city You cant even deliver one day before. Very poor service. Flipkart do mentions 3-4 but delivers in 1-2 day. My mistek chosse amazn,The package has to undergo a few more checks and scans before we hand it over to an agent for delivery. As requested earlier kindly wait until the estimates and this would be delivered at the earliest to you.
69860,Supuestamente me llegaba ayer porque pague un poco mas para que llegara ayer pero resulta que se ha retrasado y correos que es el transportista dicen que todavia no lo tienen cuando rn amazon ponr q si,"Gracias por la información Alejandro, en este caso lo recomendable es contactar con el Equipo de Servicio al Cliente para mas ayuda por medio del siguiente enlace:"
69957,Sir waiting for your early action. huge amount is blocked,I understand how worrisome such a situation can be. I'd like to inform you that we've sent the correspondence to your registered email ID. Kindly check it here:
71845,"been trying to login to my account to place an order, but it won’t let me! What’s going on?! #Irritating","Hi Zoe, have you checked to make sure your username and password are correct? You could always try to choose the ""forgot username/password"" option and follow the instructions from there."
71877,"Genau, ""Originals"" wie ""The Grand Tour"". Super, dann kann ich bequem reisen :) Danke!",Sehr gerne :) Viel Spaß beim Reisen!
71912,Hola ¿Qué puedo hacer si una pieza de mi último pedido no funciona? Gracias,"Hola Fran, lamentamos el inconveniente. ¿Podrías comentarnos si el producto fue vendido y enviado por Amazon o bien por un vendedor externo?"
72021,Thanks again another stress free ticket purchase this morning.. tickets in the bag for next July 😁 #LittleMix #amazontickets,"Eeeeeek, we're excited for you! Hope you have a blast! 🎤🎵🎵🎵 ."
73462,No idea. My app tells me it was delivered.,"Sorry about this, we're unable to access your account via Twitter to look further into this for you. Can you contact us here: so we can take a look?"
74719,"J'ai reçu un mail oui, ils proposent des raisons mais ne disent pas pourquoi exactement","Dans le cas de refus de paiement, c'est votre banque qui ne nous donne pas l'autorisation de prélèvement. Vous pouvez relancer le paiement de votre commande depuis votre compte. Si c'est encore refusé, veuillez prendre contact avec votre banque."
74732,"Il est génial, je n'avais pas été aussi conquise par un assassin depuis le grand Ezio. Il a une histoire très touchante et j'aime beaucoup sa personnalité, il me fait énormément penser à Ezio c'est dingue",Je l'adore aussi 😍 Son costume rouge et blanc me fascine.
74777,Waiting for further update.,We've sent a correspondence regarding this here: Kindly check and reply so that we can check further on this.
76049,my delivery didn’t arrive for the second day yesterday. This is ridiculous.,"Hello, I am very sorry to hear this. What is the latest tracking information available for your parcel? Have a look here:"
77339,Delivery date changed once again!!,"I do apologize for the delays you've experienced in receiving your parcel, Steffan. This is certainly not the level of service we strive to deliver. Could you contact us by phone or chat using the link provided so we can take a closer look with you?"
77372,"Amazon themselves, cancelled the order and ordered a (more expensive) similar item cause it wasn't to be in stock till first week of January after ordering Wednesday last week and it saying it was to be delivered today. Having so many problems with Amazon recently.",I'm sorry to hear about this! We are here to help. Please reach out to us here: Thanks for reaching out!
77421,"Please don't irritate me, I write 3 times in your given link but no proper solution they provide #UNINSTALLAMAZON",We've sent the correspondence to your registered email ID. Kindly check it here: and write back to the email. We will respond on the same.
77501,"Muchas gracias, ya está solucionado! Esta tarde lo tengo en casa! 🤗👍",Perfecto Carolina. :D ¡Que tengas una excelente tarde!
77523,I realise you and your executive not helpful for concern what I do? Please refund.i don't want product.,"I understand your concern regarding the order. However, we wouldn't be able to access your account on Twitter. Kindly reply to the correspondence you received from us for further assistance."
77530,"Hey , I think you have a problem... I'm not Ann, and I got an email yesterday saying thank you for activating my FireTV stick, that I hadn't yet taken out of the box, so I assume someone now has one attached to my account. #amazon #fail #badsecurity",Oh no! This is not what we want to happen! Please reach out to us here via phone or chat so we can get this sorted for you.
77574,Recibir un paquete de y que te lo dejen debajo del felpudo de la puerta de casa😂 y la opción de picar al timbre? Mi padre casi se tropieza jajaja #cosascuriosas,"Hola Núria, sentimos el inconveniente. Recuerda que puedes reportar lo que indicas con nuestros compañeros de Soporte al Cliente."
77581,"Ontem tava falando que ainda ia chegar o meu produto. Hoje diz que foi entregue na terça-feira. Nem a e a transportadora diz que ta entregue, pelo rastreamento. os porteiros dizem que não entregaram nada. E ngm sabe cade a encomenda. Que beleza","Oi Maria, sinto muito o ocorrido. Poderia me informar se você já reportou esta situação com nosso Serviço ao Cliente?"
78699,¿Os pasa que siendo Premium en últimamente aunque hagas un pedido un miércoles diga que os lo entreguen un lunes?,"Hola, HeishiroSakai. Debido al elevado número de pedidos realizados durante el Black Fiday, puede que los plazos de entrega sean más largos de lo habitual, lamentamos cualquier inconveniente."
78795,sie brauchen nur die früheren tweets zu verfolgen 71332205299377,"Wir haben hier über Twitter keinen Einblick in deine Bestellung, Till. Bitte wende dich an die Kollegen - sie helfen dir gerne weiter! Liebe Grüße"
80537,"I have used the link provided by you and sent the details, now do whatever but I want my order completed, how dare you people try to cheat customers in broad day light. I have Amazon Pay screenshots with me.",Thank you for sharing your details. We'll work on it and get back to you with an update via email soon.
80545,I am still waiting for help. How come my balance deducted and it's not there in Amazon Pay Balance Account Statement? It's simple cheat from Amazon India.,"You must've received a correspondence from us on this. Please find it, here: and kindly revert to it if needed."
80590,Hay es donde está el detalle desde ayer y lo que va de hoy los mensajes de texto no me llegan :(. Siempre me llegaban rápido,"Hola Jubert, en este caso te recomendamos contactar a nuestros compañeros de Servicio al Cliente para que te puedan ayudar con este inconveniente. Por favor sigue este enlace:"
80637,If you are paying for a premium rate call you at least expect to get someone who speaks English,"Can I ask what number you contacted? And where you found it? Our contact number is not a premium rate number but freephone within the UK. Additionally, if you contact us through the website we'll call you back rather than you call us:"
80703,c’est normal quand on a le prime que le livreur balance le colis et l’indique comme livré à un résident ? Je savais pas que ma pelouse était une personne ! Je suis franchement en colère.,"Bonjour Olivia, je suis sincèrement désolé d'apprendre cela. J'espère que votre article est intact. Afin que je puisse remonter cela, je vous invite à remplir le formulaire suivant :"
80756,No me sale la opcion “cambiar” como indica en las instrucciones,Mónica en ese caso te aconsejamos contactar directamente con Soporte al Cliente por medio del siguiente enlace:
81752,I had a chat with them. I want it delivered by today or please cancel it.,Apologies for the delay with the delivery of your order. We'd like to help. Kindly share your details here: and we'll have this resolved at the earliest.
83340,What the Hell is this ??? This is how u cheat with us ??,I'm sorry about the trouble with the order received. Definitely not an intended experience for our customers. We'd like to help. Kindly report it to our support team here: and we'll have this resolved at the earliest. 1/2
83374,"Already replied. Ur representative had replied totally out of context. I want to ask when you are giving instant discount in lieu of the interest charged on EMIs for partner banks one of which is ICICI, why am I not getting the discount?","If you have written back to us, we shall surely review the situation and get back to you at the earliest. Appreciate your patience here."
83545,Have already share the order ID. U can check,We do not have access to your account details over twitter. Please share your details from the secured link provided by me earlier and we'll look into your concern. Appreciate your understanding.
86181,how long already 24hrs over.😏,"That's strange, Akarsh. Could you check here: and let us know If you've received any email correspondence from the social media team regarding the issue?"
89113,Just got home... and my sis informed me that IT NEVER CAME!! Our USPS delivery person WAS here.. but didn't deliver it... seriously..,Sorry to hear it Lionel. Have you gotten in contact with us about this new 'attempt' via:
89149,HQS Tbm estão 90% de desconto?,"Oi Alisson, é só clicar no link para conferir os produtos que estão em promoção."
89163,why does your service suck so badly lately???? Why bother being prime if you alll don’t deliver as promised,I'm sorry to hear that you are unhappy with Prime. Without providing any personal information can you let us know what has happened?
89320,"Not sure why Amazon love to use Aramex. They are seriously shit. Not sure why they say my address is incorrect. They are the only courier that can’t find TIA office, #fb","Hi, I am sorry to hear the problems occurring with your parcel. I understand the carrier is unable to locate your address. Have you been in contact with the carrier to get this corrected?"
90205,He was reluctant to do this and finally agreed to email the information. This was at 4pm. It’s now 23.29 and I’m still waiting,Is it possible it may have gone into your spam or junk folder? You can also check for messages sent by us in your Message Centre here:
91296,"Package due to be delivered today. Two hours ago your tracking page said ""Driver is making 3 deliveries before yours"", now it says there are ""7 deliveries before yours"". Is it being delivered in a DeLorean per chance? #backtothefuture #timemachine","Hey, apologies that your package is stuck in time and space! Packages can get re-routed due to bad traffic, construction, or weather. Sometimes the delivery schedule needs to be juggled. You should still receive your package today! ."
91303,"An item was missing from a multi-order box. The gift receipt is there, but the item isn't. Can you point me to a link where I can resolve this?",I do apologize about the missing item! You can definitely reach out to us for further assistance here:
93499,"Gnihihi. Klasse. Da werden mir vier Produkte angezeigt, für die ich ein Verpackungsfeedback abgeben kann. Nur das betreffende fehlt. 😂 Trotzdem danke für die schnelle Antwort.",Behalte mal den Link im Blick. Teilweise dauert es etwas bis die Funktion aktiviert ist. :)
93608,"Yes! regardless of the jargon you have just mentioned, I am paying for a service and expect it to be done! I needed my item by Wednesday and it still hasn't arrived. Poor service",Have you had any further update to the tracking on your order? Have you been given a reason for the delay?
93617,"Yeah, all of them and I still have no parcel. What's going on!?","Hi, what date was the parcel delivered? You can check here:"
93661,Hi. Please see attached :),"Thank you for the image! We would like to assist! As we do not have access to account specific information via Twitter, if you could reach out to us via phone or chat here: we will be happy to review the promotional code error further."
93740,iPhone X seems to double costly on Amazon India . Check it out👇,"Prices on our website is offered as per seller's discretion. However, we will consider this as feedback and share it internally to get this checked."
95345,So annoyed that I've paid next delivery on my order and it's now being held at depot and I can't even go and collect it😡,"Truly sorry for the wait, this isn't the delivery experience we expect! Have you contacted the courier? If so, were they able to provide any additional insight or options? Please, let us know. We're here for you!"
